title,artist
Flowers,Miley Cyrus
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Unholy,Sam Smith & Kim Petras
Love From The Other Side,Fall Out Boy
Anti-Hero,Taylor Swift
Made You Look,Meghan Trainor
Thought You Should Know,Morgan Wallen
VIBE (feat. Jimin of BTS),TAEYANG
Heart Like A Truck,Lainey Wilson
I'm Good (Blue),David Guetta & Bebe Rexha
Thank God,Kane Brown & Katelyn Brown
wait in the truck,HARDY & Lainey Wilson
Son Of A Sinner,Jelly Roll
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
I Ain't Worried,OneRepublic
Don’t Make Me Have To Come Down There,Dolly Parton
Unstoppable,Sia
Something in the Orange (Z&E's Version),Zach Bryan
I'll Be Waiting,Cian Ducrot
The Kind of Love We Make,Luke Combs
Calm Down,Rema & Selena Gomez
NEED A FAVOR,Jelly Roll
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
One Thing At A Time,Morgan Wallen
Rock and a Hard Place,Bailey Zimmerman
You Proof,Morgan Wallen
Kill Bill,SZA
As It Was,Harry Styles
Wasted On You,Morgan Wallen
Cooler Than Me (Single Mix),Mike Posner
golden hour,JVKE
"Going, Going, Gone",Luke Combs
Players,Coi Leray
Granite,Sleep Token
Fall In Love,Bailey Zimmerman
What My World Spins Around,Jordan Davis
CUFF IT,Beyoncé
How Do I Say Goodbye,Dean Lewis
Gratitude,Brandon Lake
Bebe Dame,Fuerza Regida & Grupo Frontera
Escapism.,RAYE & 070 Shake
Hey There Delilah,Plain White T's
Under the Influence,Chris Brown
Hold Me Closer,Elton John & Britney Spears
This Is Our God,Phil Wickham
Bloody Mary,Lady Gaga
Temperature,Sean Paul
10:35,Tiësto & Tate McRae
I'm Good (Blue),David Guetta & Bebe Rexha
Shivers,Ed Sheeran
Journey,Zhang Zhe Han
I Ain't a Bitch,Alaura Lynne
Hold My Hand,Lady Gaga
Tennessee Orange,Megan Moroney
Pretty Girls Walk,Big Boss Vette
Pick Me Up,Gabby Barrett
Tennessee Whiskey,Chris Stapleton
Wreckage,Nate Smith
Sure Thing,Miguel
She Had Me At Heads Carolina,Cole Swindell
Something in the Orange,Zach Bryan
Wrecking Ball,Miley Cyrus
Build a Boat,Colton Dixon
Sober,P!nk
Run Away to Mars,TALK
Perfectly Loved (feat. TobyMac),Rachael Lampa
The Summoning,Sleep Token
Wasted (feat. Kodak Black & Koe Wetzel),Diplo
Handle On You,Parker McCollum
Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
Rich Flex,Drake & 21 Savage
Cold Heart (PNAU Remix),Elton John & Dua Lipa
'Til You Can't,Cody Johnson
Until I Found You,Stephen Sanchez
About Damn Time,Lizzo
What He Didn't Do,Carly Pearce
Que Vuelvas,Carin Leon & Grupo Frontera
Watermelon Moonshine,Lainey Wilson
First Things First,Consumed By Fire
Forget Me,Lewis Capaldi
No Horse To Ride,Luke Grimes
Victoria’s Secret,Jax
I'm a Believer,The Monkees
Monotonía,Shakira & Ozuna
Chasin' You,Morgan Wallen
Die For You,The Weeknd
Just Wanna Rock,Lil Uzi Vert
Goodness of God (Live),CeCe Winans
Memory Lane,Old Dominion
Just Pretend,Bad Omens
It's a Beautiful Day (Reprise),The Kiffness & Rushawn
Beggin',Måneskin
Sunroof,Nicky Youre & Dazy
Never Let Me Down Again,Depeche Mode
Daydream,Lily Meola
Way of the Triune God (Hallelujah Version),Tyler Childers
Things A Man Oughta Know,Lainey Wilson
Million Dollar Baby,Ava Max
Everybody Wants to Rule the World,Tears for Fears
